name,handedness,height,weight,avg,HR,BMI,Class,,,,,BMI Limits,
Al Bumbry,L,68,170,0.281,54,25.91911765,Hefty,,,,,,
Champ Summers,L,74,205,0.255,54,26.39243974,Hefty,,,,,,
Johnny Ray,B,71,170,0.29,53,23.77504463,Compact,,,,,,
Mike Hegan,L,73,188,0.242,53,24.87145806,Hefty,,,,,,
Rich Reese,L,75,185,0.253,52,23.18666667,Compact,,,,,,
Steve Braun,L,70,180,0.271,52,25.89795918,Hefty,,,,,,
Buddy Bradford,R,71,170,0.226,52,23.77504463,Compact,,,,,,
Ron Blomberg,L,73,195,0.293,52,25.79752299,Hefty,,,,,,
Cesar Geronimo,L,72,165,0.258,51,22.43923611,Lanky,,,,,,
Al Ferrara,R,73,200,0.259,51,26.45899794,Hefty,,,,,,
Joe Azcue,R,72,190,0.252,50,25.83912037,Hefty,,,,,,
Paul Casanova,R,76,180,0.225,50,21.97022161,Lanky,,,,,,
Tony Solaita,L,72,210,0.255,50,28.55902778,Hefty,,,,,,
Rick Burleson,R,70,165,0.273,50,23.73979592,Compact,,,,,,
Andy Etchebarren,R,73,190,0.235,49,25.13604804,Hefty,,,,,,
Dave Roberts,R,75,215,0.239,49,26.94666667,Hefty,,,,,,
Dale Berra,R,72,180,0.236,49,24.47916667,Hefty,,,,,,
Lou Johnson,R,71,170,0.258,48,23.77504463,Compact,,,,,,
Larry Brown,R,70,160,0.233,47,23.02040816,Compact,,,,,,
Cesar Tovar,R,69,155,0.278,46,22.9521109,Compact,,,,,,
John Stearns,R,72,185,0.26,46,25.15914352,Hefty,,,,,,
Willie Smith,L,72,182,0.248,46,24.75115741,Hefty,,,,,,
Bill Sample,R,69,175,0.272,46,25.9136736,Hefty,,,,,,
Craig Kusick,R,75,210,0.235,46,26.32,Hefty,,,,,,
Bill Russell,R,72,175,0.263,46,23.79918981,Compact,,,,,,
Sam Bowens,R,73,188,0.223,45,24.87145806,Hefty,,,,,,
Jerry Turner,L,69,180,0.257,45,26.65406427,Hefty,,,,,,
Roy Foster,R,72,185,0.253,45,25.15914352,Hefty,,,,,,
Tito Fuentes,B,71,175,0.268,45,24.47431065,Hefty,,,,,,
Darryl Motley,R,69,196,0.243,44,29.02331443,Hefty,,,,,,
Bob Johnson,R,70,175,0.272,44,25.17857143,Hefty,,,,,,
Bill Stein,R,70,170,0.267,44,24.45918367,Hefty,,,,,,
Phil Roof,R,74,190,0.215,43,24.46128561,Hefty,,,,,,
Derrel Thomas,B,72,160,0.249,43,21.75925926,Lanky,,,,,,
Art Howe,R,74,190,0.26,43,24.46128561,Hefty,,,,,,
Rich Dauer,R,72,180,0.257,43,24.47916667,Hefty,,,,,,
Eddie Milner,L,71,173,0.253,42,24.19460425,Hefty,,,,,,
Terry Crowley,L,72,180,0.25,42,24.47916667,Hefty,,,,,,
Andres Thomas,R,73,170,0.234,42,22.49014825,Lanky,,,,,,
Craig Reynolds,L,73,175,0.256,42,23.15162319,Compact,,,,,,
Ron Oester,B,74,185,0.265,42,23.81756757,Compact,,,,,,
George Wright,B,71,180,0.245,42,25.17357667,Hefty,,,,,,
Walt Bond,L,79,228,0.256,41,25.7554879,Hefty,,,,,,
Billy Bryan,L,76,200,0.216,41,24.41135734,Hefty,,,,,,
Dalton Jones,L,73,180,0.235,41,23.81309814,Compact,,,,,,
Rennie Stennett,R,71,160,0.274,41,22.3765126,Lanky,,,,,,
Dave Stapleton,R,73,178,0.271,41,23.54850816,Compact,,,,,,
John Castino,R,71,175,0.278,41,24.47431065,Hefty,,,,,,
Freddie Patek,R,65,148,0.242,41,24.69585799,Hefty,,,,,,
Bucky Dent,R,69,170,0.247,40,25.17328292,Hefty,,,,,,
Billy Conigliaro,R,72,180,0.256,40,24.47916667,Hefty,,,,,,
Billy Cowan,R,72,170,0.236,40,23.11921296,Compact,,,,,,
Joe Hague,L,72,195,0.239,40,26.51909722,Hefty,,,,,,
Marvell Wynne,L,71,175,0.247,40,24.47431065,Hefty,,,,,,
John Orsino,R,75,215,0.249,40,26.94666667,Hefty,,,,,,
Jerry Royster,R,72,165,0.249,40,22.43923611,Lanky,,,,,,
Ed Spiezio,R,71,180,0.238,39,25.17357667,Hefty,,,,,,
Ron Hunt,R,72,186,0.273,39,25.29513889,Hefty,,,,,,
Frank Fernandez,R,72,185,0.199,39,25.15914352,Hefty,,,,,,
Hector Cruz,R,71,170,0.225,39,23.77504463,Compact,,,,,,
Rob Wilfong,L,73,180,0.248,39,23.81309814,Compact,,,,,,
Wayne Nordhagen,R,74,205,0.282,39,26.39243974,Hefty,,,,,,
Jerry Grote,R,70,185,0.252,39,26.61734694,Hefty,,,,,,
Benny Ayala,R,73,185,0.251,38,24.47457309,Hefty,,,,,,
Chris Brown,R,72,185,0.269,38,25.15914352,Hefty,,,,,,
Mickey Hatcher,R,74,200,0.28,38,25.74872169,Hefty,,,,,,
Brant Alyea,R,75,215,0.247,38,26.94666667,Hefty,,,,,,
Floyd Rayford,R,70,190,0.244,38,27.33673469,Hefty,,,,,,
Omar Moreno,L,74,180,0.252,37,23.17384953,Compact,,,,,,
Pedro Garcia,R,70,175,0.22,37,25.17857143,Hefty,,,,,,
Dave Hostetler,R,76,215,0.229,37,26.24220914,Hefty,,,,,,
Luis Aguayo,R,69,173,0.236,37,25.61751733,Hefty,,,,,,
Len Gabrielson,L,76,210,0.253,37,25.63192521,Hefty,,,,,,
Bump Wills,B,69,172,0.266,36,25.46943919,Hefty,,,,,,
Larry Stahl,L,72,175,0.232,36,23.79918981,Compact,,,,,,
Vic Davalillo,L,67,150,0.279,36,23.55758521,Compact,,,,,,
Terry Harper,R,76,195,0.253,36,23.80107341,Compact,,,,,,
Ted Uhlaender,L,74,190,0.263,36,24.46128561,Hefty,,,,,,
Damaso Garcia,R,73,165,0.283,36,21.8286733,Lanky,,,,,,
Charlie Moore,R,71,180,0.261,36,25.17357667,Hefty,,,,,,
Bill Almon,R,75,180,0.254,36,22.56,Compact,,,,,,
Rusty Torres,B,70,175,0.212,35,25.17857143,Hefty,,,,,,
Al Woods,L,75,190,0.271,35,23.81333333,Compact,,,,,,
R.J. Reynolds,B,72,190,0.267,35,25.83912037,Hefty,,,,,,
Jake Wood,R,73,163,0.25,35,21.56408332,Lanky,,,,,,
